feature,pos,neg,compound,score
range price,27.610999999999997,0.998,23.778000000000002,96.51158726274949
money value,73.38700000000007,0.0,52.937400000000075,100.0
price phone,62.441999999999965,7.995,50.69409999999996,88.64943140678903
redmi note,5.826,4.7010000000000005,0.34469999999999923,55.34340267882586
pro note,8.543,4.199,3.388899999999999,67.04598964055879
camera quality,87.64999999999995,28.520000000000003,53.79459999999984,75.44977188602907
budget phone,55.30899999999997,6.872,44.99979999999998,88.948392595809
life battery,71.15199999999996,28.921000000000006,35.54819999999995,71.10009692924164
finger print,10.963000000000001,3.326,6.726800000000002,76.72335362866541
battery backup,20.529,8.277,10.335700000000006,71.26640283274318
issue heating,5.671,3.984,0.31269999999999976,58.736406007250125
