feature,pos,neg,compound,score
product,99.24899999999995,18.238,58.61229999999996,84.47658038761736
mobile,37.771999999999984,7.958,24.847900000000003,82.59785698666083
problem,6.662000000000001,20.165000000000003,-10.5656,24.833190442464677
camera,111.49600000000001,22.322,79.74049999999986,83.31913494447682
quality,53.60499999999998,15.713999999999999,32.90290000000001,77.33089052063646
battery,100.12399999999995,6.833,82.18609999999978,93.6114513309087
redmi,9.288,2.221,6.570400000000001,80.70205925797202
processor,17.007999999999996,0.0,14.065600000000002,100.0
price,43.569999999999986,3.0100000000000002,40.304999999999986,93.53799914126233
