feature,total,occurs,percent
"['month', 'phone']",57,4,0.07017543859649122
"['note', 'phone']",64,3,0.046875
"['pro', 'note']",51,39,0.7647058823529411
"['note', 'quality']",20,2,0.1
"['redmi', 'note']",54,40,0.7407407407407407
"['phone', 'performance']",62,7,0.11290322580645161
"['price', 'performance']",3,0,0.0
"['quality', 'performance']",16,2,0.125
"['price', 'phone']",98,36,0.3673469387755102
"['print', 'phone']",51,1,0.0196078431372549
"['pro', 'phone']",61,5,0.08196721311475409
"['problem', 'phone']",65,7,0.1076923076923077
"['processor', 'phone']",60,3,0.05
"['product', 'phone']",69,1,0.014492753623188406
"['pubg', 'phone']",54,2,0.037037037037037035
"['quality', 'phone']",84,5,0.05952380952380952
"['range', 'phone']",80,11,0.1375
"['reader', 'phone']",54,1,0.018518518518518517
"['redmi', 'phone']",75,11,0.14666666666666667
"['screen', 'phone']",66,1,0.015151515151515152
"['segment', 'phone']",55,6,0.10909090909090909
"['phone', 'sensor']",60,1,0.016666666666666666
"['time', 'phone']",65,4,0.06153846153846154
"['value', 'phone']",55,4,0.07272727272727272
"['price', 'product']",23,7,0.30434782608695654
"['price', 'quality']",13,2,0.15384615384615385
"['range', 'price']",26,26,1.0
"['segment', 'price']",11,11,1.0
"['print', 'quality']",14,0,0.0
"['print', 'sensor']",12,10,0.8333333333333334
"['redmi', 'pro']",43,28,0.6511627906976745
"['problem', 'quality']",17,0,0.0
"['problem', 'time']",13,0,0.0
"['processor', 'quality']",14,0,0.0
"['product', 'quality']",28,5,0.17857142857142858
"['screen', 'quality']",17,2,0.11764705882352941
"['quality', 'sensor']",10,0,0.0
"['quality', 'time']",15,2,0.13333333333333333
