feature,total,occurs,percent
"['amazon', 'phone']",59,2,0.03389830508474576
"['battery', 'app']",16,0,0.0
"['app', 'camera']",31,11,0.3548387096774194
"['app', 'phone']",60,3,0.05
"['app', 'time']",11,1,0.09090909090909091
"['battery', 'backup']",53,45,0.8490566037735849
"['backup', 'camera']",39,6,0.15384615384615385
"['backup', 'phone']",61,3,0.04918032786885246
"['backup', 'quality']",16,1,0.0625
"['battery', 'budget']",16,0,0.0
"['battery', 'camera']",127,15,0.11811023622047244
"['battery', 'day']",33,7,0.21212121212121213
"['battery', 'design']",17,1,0.058823529411764705
"['battery', 'display']",32,2,0.0625
"['battery', 'experience']",16,1,0.0625
"['feature', 'battery']",16,2,0.125
"['battery', 'finger']",19,1,0.05263157894736842
"['battery', 'fingerprint']",37,3,0.08108108108108109
"['gaming', 'battery']",23,1,0.043478260869565216
"['battery', 'hour']",17,0,0.0
"['issue', 'battery']",24,4,0.16666666666666666
"['life', 'battery']",108,98,0.9074074074074074
"['look', 'battery']",30,3,0.1
"['battery', 'mobile']",30,3,0.1
"['battery', 'money']",17,1,0.058823529411764705
"['battery', 'note']",22,0,0.0
"['battery', 'performance']",39,8,0.20512820512820512
"['battery', 'phone']",99,7,0.0707070707070707
"['battery', 'price']",17,1,0.058823529411764705
"['battery', 'print']",19,1,0.05263157894736842
"['battery', 'pro']",20,0,0.0
"['battery', 'problem']",21,1,0.047619047619047616
"['battery', 'processor']",26,1,0.038461538461538464
"['battery', 'product']",33,3,0.09090909090909091
"['battery', 'pubg']",16,0,0.0
"['battery', 'quality']",46,2,0.043478260869565216
"['range', 'battery']",12,0,0.0
"['battery', 'reader']",23,0,0.0
"['redmi', 'battery']",30,0,0.0
"['battery', 'screen']",22,0,0.0
"['battery', 'sensor']",23,0,0.0
"['battery', 'time']",22,3,0.13636363636363635
"['battery', 'value']",15,1,0.06666666666666667
"['budget', 'camera']",24,5,0.20833333333333334
"['budget', 'phone']",80,29,0.3625
"['budget', 'quality']",10,0,0.0
"['day', 'camera']",31,6,0.1935483870967742
"['camera', 'design']",33,9,0.2727272727272727
"['display', 'camera']",35,3,0.08571428571428572
"['experience', 'camera']",23,3,0.13043478260869565
"['feature', 'camera']",28,6,0.21428571428571427
"['camera', 'finger']",28,2,0.07142857142857142
"['fingerprint', 'camera']",38,3,0.07894736842105263
"['gaming', 'camera']",24,3,0.125
"['camera', 'hour']",17,2,0.11764705882352941
"['issue', 'camera']",38,5,0.13157894736842105
"['life', 'camera']",57,5,0.08771929824561403
"['look', 'camera']",42,7,0.16666666666666666
"['mobile', 'camera']",41,6,0.14634146341463414
"['camera', 'mode']",33,8,0.24242424242424243
"['money', 'camera']",24,3,0.125
"['night', 'camera']",33,6,0.18181818181818182
"['camera', 'note']",29,2,0.06896551724137931
"['camera', 'performance']",44,12,0.2727272727272727
"['camera', 'phone']",135,17,0.1259259259259259
"['camera', 'photo']",24,4,0.16666666666666666
"['camera', 'price']",30,5,0.16666666666666666
"['camera', 'print']",29,2,0.06896551724137931
"['camera', 'pro']",28,4,0.14285714285714285
"['camera', 'problem']",36,4,0.1111111111111111
"['camera', 'processor']",35,4,0.11428571428571428
"['camera', 'product']",42,2,0.047619047619047616
"['pubg', 'camera']",22,2,0.09090909090909091
"['camera', 'quality']",127,90,0.7086614173228346
"['range', 'camera']",24,2,0.08333333333333333
"['reader', 'camera']",27,2,0.07407407407407407
"['redmi', 'camera']",35,4,0.11428571428571428
"['screen', 'camera']",38,3,0.07894736842105263
"['segment', 'camera']",21,2,0.09523809523809523
"['camera', 'sensor']",34,3,0.08823529411764706
"['side', 'camera']",30,3,0.1
"['camera', 'smartphone']",23,2,0.08695652173913043
"['camera', 'software']",25,4,0.16
"['camera', 'speed']",24,3,0.125
"['camera', 'time']",33,4,0.12121212121212122
"['user', 'camera']",22,3,0.13636363636363635
"['camera', 'value']",22,3,0.13636363636363635
"['day', 'phone']",69,7,0.10144927536231885
"['day', 'price']",6,1,0.16666666666666666
"['day', 'quality']",16,1,0.0625
"['day', 'time']",12,3,0.25
"['quality', 'design']",16,1,0.0625
"['display', 'phone']",69,2,0.028985507246376812
"['display', 'quality']",28,8,0.2857142857142857
"['screen', 'display']",20,3,0.15
"['gaming', 'experience']",12,11,0.9166666666666666
"['experience', 'phone']",57,4,0.07017543859649122
"['feature', 'phone']",67,11,0.16417910447761194
"['finger', 'phone']",51,1,0.0196078431372549
"['finger', 'print']",27,26,0.9629629629629629
"['finger', 'quality']",13,0,0.0
"['finger', 'sensor']",17,13,0.7647058823529411
"['life', 'fingerprint']",18,4,0.2222222222222222
"['fingerprint', 'phone']",66,2,0.030303030303030304
"['fingerprint', 'price']",5,1,0.2
"['fingerprint', 'quality']",15,1,0.06666666666666667
"['reader', 'fingerprint']",27,27,1.0
"['fingerprint', 'sensor']",22,21,0.9545454545454546
"['fingerprint', 'time']",7,0,0.0
"['gaming', 'phone']",63,9,0.14285714285714285
"['issue', 'phone']",74,5,0.06756756756756757
"['issue', 'quality']",17,2,0.11764705882352941
"['issue', 'time']",14,1,0.07142857142857142
"['life', 'performance']",10,0,0.0
"['life', 'phone']",62,3,0.04838709677419355
"['life', 'product']",17,1,0.058823529411764705
"['life', 'quality']",23,0,0.0
"['life', 'sensor']",8,0,0.0
"['look', 'phone']",77,12,0.15584415584415584
"['lot', 'phone']",56,3,0.05357142857142857
"['mobile', 'phone']",69,12,0.17391304347826086
"['mobile', 'price']",21,11,0.5238095238095238
"['mobile', 'product']",22,1,0.045454545454545456
"['mobile', 'quality']",22,2,0.09090909090909091
"['mobile', 'time']",19,3,0.15789473684210525
"['mode', 'phone']",58,4,0.06896551724137931
"['money', 'phone']",62,5,0.08064516129032258
"['money', 'value']",48,47,0.9791666666666666
