feature,total,p
15k,16,16
amazon,52,52
app,42,42
awesome,143,143
backup,57,13
battery,290,144
beast,15,15
bit,15,15
brand,19,19
budget,55,55
call,39,39
camera,421,312
charge,57,57
charger,18,18
colour,23,23
day,66,66
delivery,31,31
design,41,41
device,40,40
display,90,90
experience,43,32
feature,57,57
finger,35,4
fingerprint,87,39
game,34,34
gaming,38,27
heating,21,21
hour,22,22
issue,82,82
life,115,16
look,87,87
lot,27,27
love,63,63
mobile,177,162
mode,28,28
money,71,23
month,25,25
nice,163,163
night,24,24
note,68,11
option,16,16
performance,94,94
phone,619,619
photo,25,25
picture,23,23
price,127,79
print,31,5
pro,77,31
problem,67,63
processor,51,49
product,233,226
pubg,44,44
quality,204,97
ram,19,19
range,62,36
reader,35,8
realme,20,20
redmi,97,49
review,28,28
sale,15,15
samsung,21,21
screen,77,77
segment,24,13
sensor,48,11
service,26,26
side,26,26
smartphone,40,40
software,24,24
sound,24,24
speaker,16,16
speed,27,27
super,41,41
superb,39,39
thank,25,25
thing,21,21
time,89,89
use,113,113
user,24,24
value,55,7
video,23,23
xiaomi,18,18
